채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
인사운영 및 급여 매니저,"밀리의 서재는 독서로 더 가치 있는 일상을 만듭니다.
독서와 무제한 친해지리, 당신의 일상을 1밀리+

- 국내 최대 독서 플랫폼(보유 콘텐츠 18만권, 베스트셀러/신간 보유 1위, 누적 회원 수 800만 명, 파트너 출판서 2300곳!), 전자책은 물론 매거진과 오디오북, 챗북, 여기에 밀리에서만 볼 수 있는 ‘밀리 오리지널’까지! 모든 사람의 취향을 만족시킬 수 있는 도서를 제공합니다.

- 책을 끝까지 다 읽지 않아도 독서! 밀리의 서재 앱을 둘러보기만 해도 독서! 전자책 뿐만 아니라 오디오북, 오디오드라마, 챗북 등 다양한 독서 콘텐츠와 큐레이션은 물론, 독서와 무제한 친해질 수 있도록 다양한 기능을 만듭니다.","이 포지션은 경영기획실 피플팀 소속입니다. 

피플팀에서 다양한 산업에서 경력을 쌓은 팀원들과 함께 
밀리의 서재 인사 업무 전반에 대해 함께 고민하며 업무를 수행합니다! 

⦁ 조직 운영에 필요한 복리후생 및 운영성 업무 전반을 수행해요.
⦁ 급여 (급/상어, 퇴직연금, 4대 보험, 근태관리 등) 전반을 정확하게 수행하면서 고도화할 수 있는 방법을 고민하고 실행해요.","이 포지션은 경영기획실 피플팀 소속입니다. 

피플팀에서 다양한 산업에서 경력을 쌓은 팀원들과 함께 
밀리의 서재 인사 업무 전반에 대해 함께 고민하며 업무를 수행합니다! 

⦁ 조직 운영에 필요한 복리후생 및 운영성 업무 전반을 수행해요.
⦁ 급여 (급/상어, 퇴직연금, 4대 보험, 근태관리 등) 전반을 정확하게 수행하면서 고도화할 수 있는 방법을 고민하고 실행해요.",,,,"유급휴가, 자기계발지원, 51~300명, 설립4~9년, AI 선도 기업, 연봉상위6~10%, 인원 급성장, 누적투자100억이상",상시채용,"신속 간결한 스타일, 과정 중심 질문, 답변을 유도해 준 편, 캐주얼/편한 분위기",서울 마포구,밀리의서재
HRBP (인사 및 조직문화 담당자),"| 회사 소개
【전 세계로 확장 중인 디자인 올인원 플랫폼】
미리디는 '디자인 생태계를 혁신하고 간편한 디자인 문화를 만든다는' 미션 아래, 올인원 디자인 솔루션 1,300만 고객의 '미리캔버스'와 국내 No. 1 온라인 프린팅 서비스 '비즈하우스'를 운영하고 있습니다.

21년도부터 매년 70% 이상의 매출 성장을 이뤄오며, 작년 607억 매출과 77억원의 영업이익을 달성하고, 200억 규모의 시리즈 B 투자 유치를 성공적으로 완료했습니다. 빠르게 성장하는 팀의 일원으로서, 전 세계에 우리의 서비스를 알리고 디자인의 미래를 함께 만들어 갈 동료분을 기다리고 있습니다!

[미리캔버스]
누구나 디자인을 통해 자신의 이야기를 표현할 수 있는 세상을 꿈꿉니다. 디자인 지식이 없어도 다양한 템플릿과 요소로 나만의 창의적인 작품을 만들 수 있습니다.
2024년 기준 가입자 1300만명을 돌파한, 한국인이 가장 사랑하는 디자인 플랫폼, 미리캔버스로 자유로운 표현의 세상을 경험해보세요.
[비즈하우스]
15만 개 이상의 샘플 디자인과 3D/AR 뷰어 등 획기적인 인쇄 경험을 제공하며 매년 40%이상 성장하는 온라인 POD 서비스!
더욱 많은 고객들을 위한 프린팅 플랫폼으로 거듭나며 일본, 미국 배송을 시작하였어요.


| 직무 소개
• “조직문화와 탁월한 인재”를 통해 목표 달성에 기여해요.
• 담당 리더가 목표를 달성할 수 있도록 리더십과 인사 업무를 지원해요.
• 구성원이 ""최고의 복지는 탁월한 동료""라는 가치를 느끼도록 해요.
• 조직 구성원이 조직문화, 핵심가치, 규율, 업무 프로세스를 잘 실천하도록 해요.
• 조직과 구성원의 성장을 이끌고 성과를 내도록 도와줘요.
• 담당 조직의 리더십을 성장시켜요.","""미리디에서 이런 일들을 함께 하고 싶어요""
• 성과 향상을 위해 다양한 활동을 기획하고 실행해요.
• 리더십 양성을 위한 코칭 활동을 주도해요.
• 다양한 인사 이슈에 대해 담당 매니저를 코칭하고 조언해요.
• 담당 리더와 함께 채용 전략과 계획을 수립하고 TA팀과 협력해요.
• 부정적 인사 이슈를 관리하여 인재 비율을 높여요.
• 적합한 온보딩 프로세스를 기획하고 실행해요.
• 조직 문화, 핵심 가치, 규율, 업무 프로세스를 실천하도록 소통하고 개선해요.
• 인재가 몰입하고 성장하도록 다양한 활동을 진행해요.","""미리디에서 이런 일들을 함께 하고 싶어요""
• 성과 향상을 위해 다양한 활동을 기획하고 실행해요.
• 리더십 양성을 위한 코칭 활동을 주도해요.
• 다양한 인사 이슈에 대해 담당 매니저를 코칭하고 조언해요.
• 담당 리더와 함께 채용 전략과 계획을 수립하고 TA팀과 협력해요.
• 부정적 인사 이슈를 관리하여 인재 비율을 높여요.
• 적합한 온보딩 프로세스를 기획하고 실행해요.
• 조직 문화, 핵심 가치, 규율, 업무 프로세스를 실천하도록 소통하고 개선해요.
• 인재가 몰입하고 성장하도록 다양한 활동을 진행해요.",,,,"사내동호회, 일·가정 양립, AI 선도 기업, 커피·스낵바, 301~1,000명, 유망산업, 연봉상위11~20%, 인원 급성장, 설립10년이상, 누적투자100억이상, 유연근무",2024.11.18,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 구로구,미리디
피플 매니저,"언젠가는 누구나 사랑할 날이 오지 않을까요?

큐피스트는 글로벌 러브테크 브랜드를 비전으로 사람 대 사람의 데이팅 앱 브랜드, 사람 대 AI의 2가지 방향으로 비즈니스를 성장시키고 있습니다.

사람 대 사람은 연애를 위한 데이팅 브랜드 ‘글램(glam)’를 시작으로 엔프피 등의 브랜드 확장을 하고 있으며, 사람 대 AI는 인플루언서의 AI 분신과 연애와 사랑할 수 있는 서비스를 만들고 있습니다. 우리는 만남과 사랑을 위한 여러 브랜드들을 마치 아이돌처럼 키워가며 사랑의 브랜드 포트폴리오를 구성합니다.

큐피스트는 외로움을 상상할 수 없는 압도적으로 행복할 미래를, 사랑의 생산성을 극대화시켜 혁신을 만든 미래를, 누구나 쉽게 사랑할 수 있는 미래를 꿈꿉니다.

만남의 가치를 믿고, 큐피스트가 만드는 브랜드들을 자식처럼 함께 키워갈 소중한 분을 모시고 있습니다.","■ 사명 및 핵심가치에 기반한 조직 문화 강화
■ 구성원이 조직문화에 녹아들 수 있는 다양한 활동 기획 및 교육
■ 인사 체계 구축 및 전략 기획
■ 기업 핵심가치를 반영한 평가 보상 제도 기획
■ 채용 프로세스 설계/운영 및 인재 채용
■ GA(자산관리, 법인서류, 병역특례, 기업부설연구소 등)","■ 사명 및 핵심가치에 기반한 조직 문화 강화
■ 구성원이 조직문화에 녹아들 수 있는 다양한 활동 기획 및 교육
■ 인사 체계 구축 및 전략 기획
■ 기업 핵심가치를 반영한 평가 보상 제도 기획
■ 채용 프로세스 설계/운영 및 인재 채용
■ GA(자산관리, 법인서류, 병역특례, 기업부설연구소 등)",,,,"건강검진지원, 유급휴가, 연봉상위11~20%, 50명이하, 설립4~9년, 식대지원, 유연근무",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,큐피스트(글램)
HR 리드,"[회사 소개]
지금 뷰런에서는 새로운 여정을 함께할 인재를 찾고 있어요.

뷰런은 사고의 위험이 늘 도사리고 있는 도로 위, 공사 현장, 좁은 길목에서 사건 사고 없이 오늘의 안전을 유지하며, LiDAR 솔루션을 통해 ‘오늘도 무사히’를 실천하고 있습니다. 독자적인 자체 기술을 통해 자율주행과 스마트 인프라 분야에서 글로벌 시장에 빠르게 자리 잡으며, 인간의 이동성을 더욱 안전하고 효율적으로 변화시키고 있습니다.

현재 뷰런은 24년 9월 220억 규모의 시리즈 A 투자 유치를 성공적으로 완료하였고, 빠르게 성장하는 조직의 멤버로 합류하셔서 최고의 라이다 솔루션을 만들어 갈 동료를 공격적으로 모시고 있습니다.

명확하고 구체적인 목표를 설정하여 이를 달성하기 위한 강한 의지와 끈기를 중시하는 뷰런은,
본질에 집중하며 모든 구성원들이 진심을 다해 열정을 추구할 수 있는 환경을 제공합니다. 불필요한 절차나 형식적인 문화를 지양하고, 오로지 목표를 향해 나아가고 있습니다.

이에 목표를 향한 몰입을 하는 미래 뷰러니들을 기다리고 있습니다!

[함께하시게 될 HR팀을 소개합니다.]
현재 HR팀은 리크루터 1명(저) 뿐입니다 :(
오셔서 HR 전반을 담당해주실 분을 애타게 찾고 있으며, 빠른 서류 검토를 통해 기다림의 불편함이 없으시도록 할 것을 약속 드립니다.

* 지원 과정 중 포지션과 조직에 대한 캐주얼한 커피챗을 희망하신다면 이력서 제출 시 간단히 커피챗 니즈를 표현해주세요.
확인 후 연락 드리겠습니다! (원티드 지원자 한정)","• 구성원의 비즈니스 목표 달성에 필요한 HR 제도를 기획하고 운영합니다.
• 인사 운영 전반을 담당하고 고도화하며 관련된 인사 정보를 체계적으로 구조화하고 관리합니다.
• 조직 구성원 역량/몰입도 강화 및 컬쳐 개선을 위한 제도를 기획합니다.
• 온보딩과 오프보딩을 지원하고 개선합니다.
• 조직의 상황과 특성을 반영한 복리후생 제도를 기획합니다.","• 구성원의 비즈니스 목표 달성에 필요한 HR 제도를 기획하고 운영합니다.
• 인사 운영 전반을 담당하고 고도화하며 관련된 인사 정보를 체계적으로 구조화하고 관리합니다.
• 조직 구성원 역량/몰입도 강화 및 컬쳐 개선을 위한 제도를 기획합니다.
• 온보딩과 오프보딩을 지원하고 개선합니다.
• 조직의 상황과 특성을 반영한 복리후생 제도를 기획합니다.",,,,"식대지원, 50명이하, 설립4~9년, AI 선도 기업, 누적투자100억이상, 커피·스낵바, 유연근무",2024.10.31,,서울 서초구,뷰런테크놀로지
Talent Acquisition Specialist,"Fulfill Your Potential!
메디트(Medit)에서 글로벌 덴탈 플랫폼 서비스를 함께 선도해갈 인재를 찾습니다.

메디트는 임상 활용 가능한 3D 구강스캐너를 개발한 회사로, 글로벌 덴탈 시장에서 매년 가파르게 성장하고 있습니다.
다양한 분야의 전문가들이 모여 뛰어난 기술력과 제품 경쟁력을 바탕으로 제품 출시 1년 만에 글로벌 업계 선두 주자로 자리 매김하며, 디지털 기술로 치과 의료 경험을 혁신해 나가고 있습니다. 강력한 디바이스를 바탕으로 축적된 3D 데이터를 AI, 머신러닝을 접목하여 유용하고 사용하기 편리한 어플리케이션을 개발하고 있으며, 전세계 치과와 기공소의 디지털 혁신을 돕는 최상의 소프트웨어 개발을 하고 있습니다.

메디트에는 세계를 무대로 성장하고 싶은 적극적이고 진취적인 인재들이 모여 자율과 책임의 문화에서 일하고 있습니다. 최고의 동료들과 함께 성장하고, 디지털 헬스케어 혁신을 함께 만들어 갈 인재분들을 모십니다.","• 채용 공고 작성 및 등록
• 채용프로세스 운영 및 고도화
• 채용 채널 활용 및 신규 채널 발굴
• 다이렉트 소싱
• 채용 브랜딩 전략 기획 및 운영
• 연봉 산정 및 협상","• 채용 공고 작성 및 등록
• 채용프로세스 운영 및 고도화
• 채용 채널 활용 및 신규 채널 발굴
• 다이렉트 소싱
• 채용 브랜딩 전략 기획 및 운영
• 연봉 산정 및 협상",,,,"복지포인트, 유망산업, 301~1,000명, 연봉상위6~10%, 인원성장, 설립10년이상, 유연근무",2024.11.11,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 영등포구,메디트(Medit)
HR 리드(피플팀),"워로브라더스는 현재 차량 용품 전문 브랜드 ‘벤딕트’와 캠핑 용품 전문 브랜드 ‘왈로우’를 운영하고 있어요. 그리고 우리가 가진 커뮤니티 생태계를 기반으로 플랫폼 비즈니스도 준비하고 있습니다!

워로브라더스는 절실함에서 새로운 가능성을 발견하는 라이프 스타일 커뮤니티 커머스 (Life Style Community Commerce) 스타트업입니다! 2019년 2명, 매출 2억에서 시작했던 우리는 매년 300% 이상, 성장률은 7400%라는 기록적인 성장을 이어나가고 있어요.

우리는 절실함의 힘을 믿습니다. 인간은 무언가 절실할 때 새로운 가능성을 찾으려고 하죠. 이는 또 다른 기회의 땅으로 떠나는 여정이고 이때 생기는 욕심 또한 우리는 “추구하는바가 명쾌함” 혹은 “탁월한 가치이자 기회를 놓치지 않으려 고군분투하는 역량”이라고 정의합니다. 우리의 폭발적인 성장과 함께 할 최고의 인재를 영입하고 있어요. 환영합니다! 어서오세요!

Beyond your Authentic

당신이 찾는 진정한 가치, 그 너머를 향해

#채용 절차
서류 전형 ＞ 1차 면접(Job&Culture Fit) ＞ 2차 면접(Core Value Fit) ＞ 처우 협의 후 입사 확정
*포지션에 따라 1차 면접부터 경영진이 참여할 수 있습니다.
*Fast Track 적용 : 1차 면접 후 최종합격이 결정될 경우 바로 처우 협의가 진행됩니다.

#필수 제출 서류
• 이력서
• 자기소개서
• 포트폴리오(필요시 제출, PDF 파일)

#미션,비전,핵심가치 등 더 자세한 내용은 “워로브라더스”를 검색해 확인해보세요!
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ","#WOLO에서 이 포지션이 갖는 의미

HR 리드는 조직의 비즈니스 목표 달성을 위한 오너십을 가지고, 인사 정책과 전략을 비즈니스와 연계하여 성과를 높이는 데 집중합니다. 또한, 핵심 가치를 바탕으로 조직 문화를 전파하고 긍정적인 직원 경험을 제공하여 구성원들의 몰입을 지원하며, 이를 통해 경력 성장에도 기여합니다

조직 내 다양한 이슈를 해결하며 목표 달성에 기여하고, 필요한 교육과 자기계발 기회를 통해 자율성을 보장받으며 직무를 수행합니다. 또한, 업계 행사와 네트워킹 기회를 적극 활용하여 다른 전문가들과 교류하고 인사이트를 얻어 전문성을 강화할 수 있습니다


#이런 일로 함께 성과를 만들고 성장해요

HR 리드로서 리더 및 전체 구성원들과 협업하여 HR 제도 및 전략을 수립하고, 지속적으로 개선 및 운영합니다

• 조직 운영에 대한 강력한 오너십을 바탕으로 조직 구조를 설계하고 구성원을 효과적으로 배치합니다
• 직원 경험(EX Cycle)에 대한 깊은 이해를 바탕으로 탁월한 직원 경험을 제공합니다

비즈니스 목표 달성을 위한 의사결정과 최적의 솔루션을 도출합니다

• 채용 시장에 대한 폭넓은 이해와 다양한 데이터를 기반으로 효과적인 채용 프로세스를 운영합니다.
• 각 구성원의 목표 관리를 지원하고 성과 관리 체계를 운영 및 개선합니다
• 노무 이슈를 사전에 파악하고 적절한 문제 해결 방안 제시합니다

핵심가치에 기반한 조직문화를 전파하고 일하는 방식에서 혁신합니다

• 인터널 브랜딩 활동을 통해 조직의 비전과 미션에 대한 이해를 높일 수 있도록 지원합니다
• 채용 브랜딩 전략을 개발해 조직 문화의 가치를 효과적으로 전달하는 캠페인 운영합니다
• 구성원의 피드백을 수집해 일하는 방식을 지속적으로 개선하고 혁신하는 방안을 제안합니다","#WOLO에서 이 포지션이 갖는 의미

HR 리드는 조직의 비즈니스 목표 달성을 위한 오너십을 가지고, 인사 정책과 전략을 비즈니스와 연계하여 성과를 높이는 데 집중합니다. 또한, 핵심 가치를 바탕으로 조직 문화를 전파하고 긍정적인 직원 경험을 제공하여 구성원들의 몰입을 지원하며, 이를 통해 경력 성장에도 기여합니다

조직 내 다양한 이슈를 해결하며 목표 달성에 기여하고, 필요한 교육과 자기계발 기회를 통해 자율성을 보장받으며 직무를 수행합니다. 또한, 업계 행사와 네트워킹 기회를 적극 활용하여 다른 전문가들과 교류하고 인사이트를 얻어 전문성을 강화할 수 있습니다


#이런 일로 함께 성과를 만들고 성장해요

HR 리드로서 리더 및 전체 구성원들과 협업하여 HR 제도 및 전략을 수립하고, 지속적으로 개선 및 운영합니다

• 조직 운영에 대한 강력한 오너십을 바탕으로 조직 구조를 설계하고 구성원을 효과적으로 배치합니다
• 직원 경험(EX Cycle)에 대한 깊은 이해를 바탕으로 탁월한 직원 경험을 제공합니다

비즈니스 목표 달성을 위한 의사결정과 최적의 솔루션을 도출합니다

• 채용 시장에 대한 폭넓은 이해와 다양한 데이터를 기반으로 효과적인 채용 프로세스를 운영합니다.
• 각 구성원의 목표 관리를 지원하고 성과 관리 체계를 운영 및 개선합니다
• 노무 이슈를 사전에 파악하고 적절한 문제 해결 방안 제시합니다

핵심가치에 기반한 조직문화를 전파하고 일하는 방식에서 혁신합니다

• 인터널 브랜딩 활동을 통해 조직의 비전과 미션에 대한 이해를 높일 수 있도록 지원합니다
• 채용 브랜딩 전략을 개발해 조직 문화의 가치를 효과적으로 전달하는 캠페인 운영합니다
• 구성원의 피드백을 수집해 일하는 방식을 지속적으로 개선하고 혁신하는 방안을 제안합니다",,,,"HRD, HRM, 평가, 보상, 인사 관리, HR 정책, HR 전략, 채용, HRO, HR 변환",,,경기 하남시,워로브라더스
HR Manager (조직문화 담당자),"""AI Right Next to you”
AITRICS는 인공지능의 경계를 허물어 인류를 위한 기술로 당신과 함께하겠습니다.

AITRICS는 인공지능 원천기술을 연구/개발하고 이를 실산업영역에 접목하여 해당 분야의 혁신을 지향하는 팀입니다.

인공지능은 사람들의 삶의 양상을 근본적으로 바꿀 수 있는 파급효과가 큰 연구 분야이며 산업적으로도 아직 Early Stage로 기회가 큰 분야입니다.

AITRICS는 의료인공지능, 디지털 휴먼 등 다양한 분야에 인공지능을 활용하고 있습니다.","• 회사 핵심 가치 및 조직문화 기획
• 조직문화 내재화 프로그램 기획 및 운영
• 전사 소통 프로그램(워크샵, 팀 빌딩 활동 등) 기획 및 운영
• 사내 행사 및 이벤트 기획 및 운영
• 교육 프로그램(직무/리더십 등) 기획 및 운영
• 온보딩 프로그램 기획 및 운영","• 회사 핵심 가치 및 조직문화 기획
• 조직문화 내재화 프로그램 기획 및 운영
• 전사 소통 프로그램(워크샵, 팀 빌딩 활동 등) 기획 및 운영
• 사내 행사 및 이벤트 기획 및 운영
• 교육 프로그램(직무/리더십 등) 기획 및 운영
• 온보딩 프로그램 기획 및 운영",,,,"유망산업, 편의시설, 식대지원, 자기계발지원, 커피·스낵바, 유급휴가, 육아휴직, 51~300명, 설립4~9년, AI 선도 기업, 연봉상위6~10%, 인원 급성장, 누적투자100억이상, 워크샵, 유연근무",상시채용,"빠른 속도감, 상세한 피드백, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,에이아이트릭스(AITRICS)
HR매니저 (주니어),"[우리가 해결하려는 문제]
""열심히 살면 성공할 줄 알았는데 내 집 마련도 못했어요.""
""회사생활 20년인데도 노후 준비를 못하네요.""

이런 고객들의 푸념과 한숨에 우리는 깊이 공감하며 진심으로 가슴 아파합니다.
경제적 문제는 대한민국의 사회적 이슈로 (노후빈곤, 경제적 양극화, 결혼/출산율 저하) 이어지고 있지만, 안타깝게도 이를 실질적으로 해결해줄 수 있는 플레이어가 없는 현실입니다.

월급쟁이부자들은 이러한 경제적/사회적 문제에 대해 진정성을 가지고 실효적으로 해결하고자 합니다.
실제로 우리는 지난 10년 간 고객을 경제적으로 도우며, 고객의 인생을 변화시키고 있습니다.


[OUR MISSION]
월급쟁이부자들 구성원들은 월급쟁이에게 내집마련과 행복한 노후를 돕기 위해 일하고 배우고 소통한다


[OUR VISION]
대한민국 1등 경제 콘텐츠 & 성인교육 플랫폼 회사 (기업가치 1조)


[극도의 성장! 기업가치 1조를 향해 가는 회사]
창업 이후 Unique&Good 한 제품과 서비스를 기반으로 매년 2배씩 성장하고 있으며, 최근 3년 동안에는 매출이 10배 이상 폭발적으로 성장하였습니다. (23년 기준 매출 350억원, 영업이익 216억원)

또한 창업 이후 매년 매출의 50%가 넘는 영업이익률로 흑자를 이어가고 있으며, 외부 투자 없이도 망할 걱정 없는 탄탄한 스타트업이라는 평가를 받고 있습니다. (""투자 안 받고 성장한 스타트업"" 언론 기사 :","• 핵심인재 확보를 위한 채용 프로세스 운영 및 고도화
• HR 데이터 분석을 통한 인사이트 도출
• HR 관련 전반 서포트","• 핵심인재 확보를 위한 채용 프로세스 운영 및 고도화
• HR 데이터 분석을 통한 인사이트 도출
• HR 관련 전반 서포트",,,,"편의시설, 자기계발지원, 커피·스낵바, 건강검진지원, 식대지원, 장비지원, 유급휴가, 연봉상위1%, 51~300명, 설립4~9년, 워크샵, 유연근무",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 서초구,월급쟁이부자들
리크루터 (TA),"[우리가 해결하려는 문제]
""열심히 살면 성공할 줄 알았는데 내 집 마련도 못했어요.""
""회사생활 20년인데도 노후 준비를 못하네요.""

이런 고객들의 푸념과 한숨에 우리는 깊이 공감하며 진심으로 가슴 아파합니다.
경제적 문제는 대한민국의 사회적 이슈로 (노후빈곤, 경제적 양극화, 결혼/출산율 저하) 이어지고 있지만, 안타깝게도 이를 실질적으로 해결해줄 수 있는 플레이어가 없는 현실입니다.

월급쟁이부자들은 이러한 경제적/사회적 문제에 대해 진정성을 가지고 실효적으로 해결하고자 합니다.
실제로 우리는 지난 10년 간 고객을 경제적으로 도우며, 고객의 인생을 변화시키고 있습니다.


[OUR MISSION]
월급쟁이부자들 구성원들은 월급쟁이에게 내집마련과 행복한 노후를 돕기 위해 일하고 배우고 소통한다


[OUR VISION]
대한민국 1등 경제 콘텐츠 & 성인교육 플랫폼 회사 (기업가치 1조)


[극도의 성장! 기업가치 1조를 향해 가는 회사]
창업 이후 Unique&Good 한 제품과 서비스를 기반으로 매년 2배씩 성장하고 있으며, 최근 3년 동안에는 매출이 10배 이상 폭발적으로 성장하였습니다. (23년 기준 매출 350억원, 영업이익 216억원)

또한 창업 이후 매년 매출의 50%가 넘는 영업이익률로 흑자를 이어가고 있으며, 외부 투자 없이도 망할 걱정 없는 탄탄한 스타트업이라는 평가를 받고 있습니다. (""투자 안 받고 성장한 스타트업"" 언론 기사 :","• 사내 주요 포지션 관련 Direct sourcing 채용
• 주요 채용 채널 관리
• 핵심인재Pool 관련 네트워킹 및 Pipeline 관리","• 사내 주요 포지션 관련 Direct sourcing 채용
• 주요 채용 채널 관리
• 핵심인재Pool 관련 네트워킹 및 Pipeline 관리",,,,"편의시설, 자기계발지원, 커피·스낵바, 건강검진지원, 식대지원, 장비지원, 유급휴가, 연봉상위1%, 51~300명, 설립4~9년, 워크샵, 유연근무",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 서초구,월급쟁이부자들
채용 및 L&D 담당자,"WE'RE HIRING !

Positive Beauty Everywhere !
뷰티, 그 이상의 경험으로 고객의 일상을 가치있게 만들고 싶은 위시컴퍼니 입니다.

위시컴퍼니는 우리 모두의 외면과 내면의 아름다움, 균형, 안정 그리고 개인의 다양성을 존중하고 응원합니다.
우리의 브랜드와 제품을 원하는 모든 분들께 콘텐츠, 커머스, 미디어 등 매체를 통해 온오프라인을 넘어 닿을 수 있고자 합니다.

위시컴퍼니는 뷰티 브랜드·콘텐츠 개발 기업입니다. 2010년 설립 이후 클레어스(Dear Klairs), 바이위시트렌드(by Wishtrend), 이엘엠티(elmt) 등 고품질의 스킨케어 브랜드를 보유하고 있습니다.
유튜브(Wishtrend TV), 인스타그램(@Wishtrend), 페이스북 등 소셜미디어 채널을 활용하여 전세계 450만 독자들과 소통하고, 소비자의 일상에 녹아들 수 있는 콘텐츠를 제작해 영상 조회 수 1억 5천만회에 달하는 등의 미디어 영향력을 구축하였습니다.

위시컴퍼니와 함께 다양한 아름다움을 전파하고 고객의 일상을 가치있게 해주실분을 찾습니다!



* 모집분야 : People and Culture Lab / 채용 및 L&D 담당자

* 전형절차
서류 ＞ 1차 인터뷰 (실무진) ＞ 2차 인터뷰 (임원) ＞ 최종합격

* 제출서류
• 필수 :
이력서, 자기소개서, 경력 기술서","1) 채용 운영 및 관리 
 - 공고 작성 및 기재, 지원자 추천, 이력서 스크리닝, 면접 일정 관리, 실무 면접 참석, 다이렉트 소싱 등

2) 채용 브랜딩 기획 및 관리 
•  프리보딩, 온보딩, 채용프로세스, 면접도구, 오프보딩, 평판관리

3) L&D 
• 역량 (직무, 공통, 직급, 리더십)교육, 핵심가치 교육, 경력개발, 조직개발","1) 채용 운영 및 관리 
 - 공고 작성 및 기재, 지원자 추천, 이력서 스크리닝, 면접 일정 관리, 실무 면접 참석, 다이렉트 소싱 등

2) 채용 브랜딩 기획 및 관리 
•  프리보딩, 온보딩, 채용프로세스, 면접도구, 오프보딩, 평판관리

3) L&D 
• 역량 (직무, 공통, 직급, 리더십)교육, 핵심가치 교육, 경력개발, 조직개발",,,,"식대지원, 연봉상위11~20%, 51~300명, 설립10년이상",상시채용,"신속 간결한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,위시컴퍼니
