채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
캐쥬얼 게임 사업 팀장급,"'라인 게임즈'는 재미있는 게임을 만드는 사람들 입니다.
매일같이 쏟아지는 수 많은 게임 콘텐츠의 홍수 속에 유저들에게 사랑 받는 게임을 만드는 일은 쉽지 않습니다.
차별화된 재미와 가치를 주는 게임회사로 거듭나 누군가에게 `감동`을 주고, 누군가의 `추억`이되고, `재미`를 선사하는 같은 꿈을 꾸는 사람들을 환영합니다.","• 프로젝트에 대한 전반적인 리딩
• 게임의 런칭부터 라이브까지 모든 과정의 운영 전략 수립과 실행
• BM 기획/관리 및 주요 지표 분석을 통한 현황 개선과 최적화
• 글로벌 게임시장 트렌드 분석 및 적용","• 프로젝트에 대한 전반적인 리딩
• 게임의 런칭부터 라이브까지 모든 과정의 운영 전략 수립과 실행
• BM 기획/관리 및 주요 지표 분석을 통한 현황 개선과 최적화
• 글로벌 게임시장 트렌드 분석 및 적용",,,,"편의시설, 건강검진지원, 유급휴가, 자기계발지원, 식대지원, 51~300명, AI 선도 기업, 연봉상위6~10%, 설립10년이상, 워크샵, 통신비",상시채용,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,라인게임즈
캐쥬얼 게임 사업 PM,"'라인 게임즈'는 재미있는 게임을 만드는 사람들 입니다.
매일같이 쏟아지는 수 많은 게임 콘텐츠의 홍수 속에 유저들에게 사랑 받는 게임을 만드는 일은 쉽지 않습니다.
차별화된 재미와 가치를 주는 게임회사로 거듭나 누군가에게 `감동`을 주고, 누군가의 `추억`이되고, `재미`를 선사하는 같은 꿈을 꾸는 사람들을 환영합니다.","• 사업 PM으로서 전반적인 사업 전략 수립 및 실행
• 주요 지표 분석을 통한 성과 개선 방안/인사이트 도출 및 실행
• 인게임 콘텐츠 기획 및 관리
• BM, 상품 기획 및 관리
• 이벤트 운영 계획 수립 및 실행
• 유관 부서 커뮤니케이션 관리","• 사업 PM으로서 전반적인 사업 전략 수립 및 실행
• 주요 지표 분석을 통한 성과 개선 방안/인사이트 도출 및 실행
• 인게임 콘텐츠 기획 및 관리
• BM, 상품 기획 및 관리
• 이벤트 운영 계획 수립 및 실행
• 유관 부서 커뮤니케이션 관리",,,,"편의시설, 건강검진지원, 유급휴가, 자기계발지원, 식대지원, 51~300명, AI 선도 기업, 연봉상위6~10%, 설립10년이상, 워크샵, 통신비",상시채용,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,라인게임즈
창세기전 모바일 운영 담당자,"'라인 게임즈'는 재미있는 게임을 만드는 사람들 입니다.
매일같이 쏟아지는 수 많은 게임 콘텐츠의 홍수 속에 유저들에게 사랑 받는 게임을 만드는 일은 쉽지 않습니다.
차별화된 재미와 가치를 주는 게임회사로 거듭나 누군가에게 `감동`을 주고, 누군가의 `추억`이되고, `재미`를 선사하는 같은 꿈을 꾸는 사람들을 환영합니다.","• 커뮤니티 관리 
  - 유저 동향 파악/리포트
  - 커뮤니티 이벤트 기획/운영
  - 공지문 작성 
  - 각종 유저 문의 대응

• 게임운영 
  - 확률 정보 관리
  - 점검 준비 세팅/후처리
  - 게임 데이터 분석
  - 버그/불법 프로그램 감시","• 커뮤니티 관리 
  - 유저 동향 파악/리포트
  - 커뮤니티 이벤트 기획/운영
  - 공지문 작성 
  - 각종 유저 문의 대응

• 게임운영 
  - 확률 정보 관리
  - 점검 준비 세팅/후처리
  - 게임 데이터 분석
  - 버그/불법 프로그램 감시",,,,"편의시설, 건강검진지원, 유급휴가, 자기계발지원, 식대지원, 51~300명, AI 선도 기업, 연봉상위6~10%, 설립10년이상, 워크샵, 통신비",상시채용,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강남구,라인게임즈
[스포츠 게임] 게임 기획자,"당신의 손에 잊히지 않는 경험을 선사합니다.

2018년 3월부터 게임 ""더 스파이크""를 출시해 라이브 서비스 중이며,
글로벌 시장에서 다운로드 수 6,000만+ 등 다양한 성과를 거둔 스포츠 게임 개발 회사 [선시안] 입니다.

우리는 젊은 개발팀으로 구성되어 시대 흐름에 맞춰 유연한 근무 형태로 다양한 시도를 하고,
스포츠의 매력을 게임에 담아, 눈부신 스토리와 캐릭터를 통해 사람들에게 최고의 게임을 선보이겠습니다.

창작은 즐겁습니다. 그 즐거움을 안고 선시안에서 함께 최고의 게임을 만들기 위해 새로운 팀원을 찾습니다.","ㆍ더 스파이크 신규 콘텐츠 및 시스템 기획
ㆍ더 스파이크 라이브 서비스 지표 분석
ㆍ신규 프로젝트 기획","ㆍ더 스파이크 신규 콘텐츠 및 시스템 기획
ㆍ더 스파이크 라이브 서비스 지표 분석
ㆍ신규 프로젝트 기획",,,,"50명이하, 설립3년이하, 디캠프 선정 유망 스타트업, 커피·스낵바, 자기계발지원, 인원 급성장, 건강검진지원, 식대지원, 휴가비, 보너스",상시채용,,서울,선시안
[스포츠 게임] 2D 그래픽 디자이너,"당신의 손에 잊히지 않는 경험을 선사합니다.

2018년 3월부터 게임 ""더 스파이크""를 출시해 라이브 서비스 중이며,
글로벌 시장에서 다운로드 수 6,000만+ 등 다양한 성과를 거둔 스포츠 게임 개발 회사 [선시안] 입니다.

우리는 젊은 개발팀으로 구성되어 시대 흐름에 맞춰 유연한 근무 형태로 다양한 시도를 하고,
스포츠의 매력을 게임에 담아, 눈부신 스토리와 캐릭터를 통해 사람들에게 최고의 게임을 선보이겠습니다.

창작은 즐겁습니다. 그 즐거움을 안고 선시안에서 함께 최고의 게임을 만들기 위해 새로운 팀원을 찾습니다.","ㆍ캐릭터 및 배경 리소스 등 담당 프로젝트의 아트 전반을 제작
ㆍ게임 아트 컨셉 및 캐릭터 디자인","ㆍ캐릭터 및 배경 리소스 등 담당 프로젝트의 아트 전반을 제작
ㆍ게임 아트 컨셉 및 캐릭터 디자인",,,,"Spine, Unity3D",,,서울,선시안
Unreal 게임개발 과정 교강사,"경일게임IT아카데미는 게임개발/기획, 웹디바이스, 블록체인, 메타버스 콘텐츠 전문 대한민국 대표 IT 교육기관입니다. 1988년 설립 이후 매년 꾸준한 성장을 기록하고 있으며, 최근 3년 내에 2배 이상의 성장을 기록하였습니다. 또한, 게임 아카데미 최초 '기업맞춤형 교육과정 승인', '직업능력의 달 국무총리상' 수상, 8년 연속 우수훈련기관 선정 등 대한민국을 대표하는 1등 IT 교육기관으로 자리매김하고 있습니다. 23년도 스마트 훈련(온라인) 사업이 승인됨에 따라 경일게임IT아카데미의 성장 가능성은 더욱 가파를 것입니다. 그 성장세에 함께 동참할 열정 가득하고 욕심 있는 여러분을 찾고 있습니다.","• Unreal 엔진 기반의 게임 프로그래밍 강의
• 게임 프로그래밍에 필요한 C언어 강의
• 게임에 대한 이해와 기초 강의
• 수강생 학습 지도 및 포트폴리오 관리","• Unreal 엔진 기반의 게임 프로그래밍 강의
• 게임 프로그래밍에 필요한 C언어 강의
• 게임에 대한 이해와 기초 강의
• 수강생 학습 지도 및 포트폴리오 관리",,,,"자기계발지원, 식대지원, 커피·스낵바, 유망산업, 보너스, 50명이하, 휴가비, 출산휴가, 연봉상위11~20%, 인원 급성장, 설립10년이상",상시채용,"세심한 스타일, 과정 중심 질문, 친절/따뜻한 스타일, 자유롭고 편한 환경",서울 강동구,경일게임아카데미
게임 시스템 기획자 (3년 이상),"비비던트코리아는 매력적인 캐릭터에 기반한 소셜 시뮬레이션 경험을 가상 세계를 넘어 현실 세계로 확장하는 대체현실 플랫폼을 구축하고 있는 회사입니다. 엔터/콘텐츠 비즈니스에 생성형 AI, 블록체인 등의 새로운 기술을 접목하여 IP 시장의 새로운 패러다임을 만들어가고 있습니다.

크래프톤, 하이퍼커넥트, 네오사피엔스, 해시드 등의 유명 게임/소셜/AI 회사 출신들로 구성된 팀과 함께 뛰어난 역량과 도전 정신으로 IP 산업에서 퀀텀 점프를 팀과 함께 만들어낼 분을 찾고 있습니다.","• 육성 시스템의 기본 규칙 설계
• 플레이어 & AI 캐릭터의 성장, 보상, NPC 대화 등 각종 시스템 설계
• 데이터 분석을 기반으로 한 게임/서비스 내 재화 및 보상 밸런싱","• 육성 시스템의 기본 규칙 설계
• 플레이어 & AI 캐릭터의 성장, 보상, NPC 대화 등 각종 시스템 설계
• 데이터 분석을 기반으로 한 게임/서비스 내 재화 및 보상 밸런싱",,,,"JIRA, Office 365, Unity3D",,,서울 강남구,비비던트코리아
[이클립스] 서버 프로그래머,"[우리 프로젝트를 소개합니다]
-엔픽셀의 신규 모바일 MMORPG 프로젝트입니다.","• 모바일 MMORPG 서버를 초기 단계에서 함께 설계해 나가실 분
• 기존 방법을 답습하기보다는 목적에 맞는 기술 스택을 함께 의논하며 결정해 나가실 분
• 새로운 언어&프레임워크를 함께 공부하며 성장해 나가실 분(뛰어난 분들 덕분에 초반에 걱정했던 것 보다 꽤 잘 동작하고 있습니다!)
• 오픈 소스를 활용해 빠르게 개발하고, 더 나아가서 생태계에 기여하고 싶으신 분","• 모바일 MMORPG 서버를 초기 단계에서 함께 설계해 나가실 분
• 기존 방법을 답습하기보다는 목적에 맞는 기술 스택을 함께 의논하며 결정해 나가실 분
• 새로운 언어&프레임워크를 함께 공부하며 성장해 나가실 분(뛰어난 분들 덕분에 초반에 걱정했던 것 보다 꽤 잘 동작하고 있습니다!)
• 오픈 소스를 활용해 빠르게 개발하고, 더 나아가서 생태계에 기여하고 싶으신 분",,,,"편의시설, 식대지원, 건강검진지원, 휴가비, 커피·스낵바, 복지포인트, 51~300명, 설립4~9년, 연봉상위6~10%, 워크샵, 누적투자100억이상, 유연근무",상시채용,"빠른 속도감, 과정 중심 질문, 친절/따뜻한 스타일, 캐주얼/편한 분위기",서울 강남구,엔픽셀
[가디스오더] 클라이언트 프로그래머,"픽셀트라이브(PIXELTRIBE)는 픽셀아트라는 강한 아이덴티티에 기반하여, 단결된 조직력으로 글로벌 게임 시장에서 강한 영향력을 펼치고자 2024년 2월에 설립된 신규 게임 개발사입니다.

""Tribe : 부족""
전통적인 가치와 문화를 중시하지만, 동시에 새로운 도전과 변화를 받아들일 수 있는 유연성도 갖추고 있는 것이 바로 '부족'이라고 생각합니다.
우리 모두가 조직의 구성원으로서 각자의 역할과 책임을 완수하며, 모두가 함께 연결되어 우리의 목표를 달성하는 조직이 되고자 합니다.

＃High-Quality 2D 프로젝트에 관심이 많고
＃깊이 있는 스토리의 진정성을 통한 콘텐츠의 힘을 믿고
＃대중적이고, 위트 있으면서도 오랫동안 사랑 받을 명작 제작에 기여하고 싶으시다면

픽셀트라이브 여정에 함께해 주세요.
우리와 함께 글로벌 게임 시장에서 새로운 역사를 써 내려가고 싶은 여러분을 기다립니다.


Ι 우리는 이렇게 일하고 있어요!
＃CREATIVE
전 세계 게이머에게 인정받을 수 있는 창의적인 경험을 추구합니다.

＃ CALIBARTED
게임의 핵심과 차별화 포인트를 일찍 그리고 더 자주 검증합니다.

＃COST EFFECTIVE
물량보단 창발적 콘텐츠를, 그리고 개발 과정에서의 효율성을 추구합니다.


Ι 클라이언트팀을 소개해 드립니다!
우리 팀은 게임 플레이 뿐만 아니라 개발하는 것을 좋아하는 사람들이 모인 조직입니다.
자유로운 분위기 속에서 부족한 부분은 채워주고, 좋은 부분은 함께 나눌 수 있는 개발 문화를 가지고 있습니다.
개발 속도, 유지 보수, 완성도의 모든 결과를 얻기 위해 부단히 노력하고 있으며, 개발 철학의 융합을 통해 더 나은 개발 철학을 추구합니다.
현실에 안주하지 않고 새로운 환경에서 전 세계 게이머들에게 좋은 서비스를 제공하고 싶은 분이 있다면 꼭 지원해 주세요!","합류 후 함께하실 업무에 대해서 소개해 드릴게요.

• ""Goddess Order""의 전반적인 클라이언트 개발 업무를 담당합니다.","합류 후 함께하실 업무에 대해서 소개해 드릴게요.

• ""Goddess Order""의 전반적인 클라이언트 개발 업무를 담당합니다.",,,,"복지포인트, 식대지원, 건강검진지원",상시채용,,,픽셀트라이브
클라이언트 프로그래머,"달콤소프트는 아티스트 IP를 사용하여 SuperStar 시리즈를 서비스하고 있는 리듬게임 개발 및 운영사입니다.

SuperStar는 2014년 SuperStar SMTOWN을 시작으로 약 20개의 기획사, 400명 이상의 TOP Artist와 함께 성장해 왔습니다.
SuperStar는 전세계 126개국 이상에서 7,700백만명 이상의 K-POP Fandom User를 확보하고 있는 ""New Contents Delivery Plarform""입니다.
현재 SuperStar는 미국,일본,싱가폴에 해외 자회사 설립을 통하여 K-POP뿐만 아니라 글로벌 아티스트로의 확대를 진행하며 명실상부한 글로벌 서비스로 도약하고 있습니다.","ㆍ라이브 서비스중인 슈퍼스타 시리즈를 개발 및 유지보수하는 업무
ㆍUnity 엔진을 활용한 라이브러리 개발","ㆍ라이브 서비스중인 슈퍼스타 시리즈를 개발 및 유지보수하는 업무
ㆍUnity 엔진을 활용한 라이브러리 개발",,,,"51~300명, 편의시설, 식대지원, 건강검진지원, 복지포인트, 설립10년이상",상시채용,,서울 강남구,달콤소프트
