채용공고명,포지션 상세,주요 업무,자격 요건,우대사항,혜택 및 복지,채용 전형,태그,마감일,면접리뷰,회사위치,회사명
기술연구소 기구설계,"(주)세펙트는 2000년에 설립 된 회사로 매출액 약 100억(2017년기준), 사원수 25명 규모의 중소기업입니다.
Safety Switch를 작업자의 안전을 고려하여 개발 및 제조하여 국내 최초로 브랜드화하였으며, Safety 사업 전반에 걸쳐 안전제품과 솔루션 제공을 하고 있습니다.","• 스위치/전자제품 구조설계
• 시제품 설계변경 및 업그레이드
• 부품설계 (구동부, 케이스)
• 금형 개발 Follow-up
• 개발 일정관리
• BOM 작성 및 관리
• 도면관리","• 스위치/전자제품 구조설계
• 시제품 설계변경 및 업그레이드
• 부품설계 (구동부, 케이스)
• 금형 개발 Follow-up
• 개발 일정관리
• BOM 작성 및 관리
• 도면관리",,,,"50명이하, 인원 급성장, 설립10년이상, 경기도 우수 중소기업",2024.10.26,"세심한 스타일, 과정 중심 질문, 답변을 유도해 준 편, 집중하기 좋은 환경",경기,세펙트
기술연구소 펌웨어 설계 담당,"(주)세펙트는 2000년에 설립 된 회사로 매출액 약 100억(2017년기준), 사원수 25명 규모의 중소기업입니다.
Safety Switch를 작업자의 안전을 고려하여 개발 및 제조하여 국내 최초로 브랜드화하였으며, Safety 사업 전반에 걸쳐 안전제품과 솔루션 제공을 하고 있습니다.","• MCU(STM32F, ATMEL 및 기타) 기반 펌웨어 개발
• 제품 양산설계 및 검증
• 제품개선 및 업데이트","• MCU(STM32F, ATMEL 및 기타) 기반 펌웨어 개발
• 제품 양산설계 및 검증
• 제품개선 및 업데이트",,,,"50명이하, 인원 급성장, 설립10년이상, 경기도 우수 중소기업",2024.10.26,"세심한 스타일, 과정 중심 질문, 답변을 유도해 준 편, 집중하기 좋은 환경",경기,세펙트
기술팀,"(주)세펙트는 2000년에 설립 된 회사로 매출액 약 100억(2017년기준), 사원수 25명 규모의 중소기업입니다.
Safety Switch를 작업자의 안전을 고려하여 개발 및 제조하여 국내 최초로 브랜드화하였으며, Safety 사업 전반에 걸쳐 안전제품과 솔루션 제공을 하고 있습니다.","• 고객사 기술지원
• 제품불량 파악 및 대응
• 생산자동화 설비 제작지원
• TEST 설비 제작지원
• 신제품 검증 및 TEST","• 고객사 기술지원
• 제품불량 파악 및 대응
• 생산자동화 설비 제작지원
• TEST 설비 제작지원
• 신제품 검증 및 TEST",,,,"50명이하, 인원 급성장, 설립10년이상, 경기도 우수 중소기업",2024.10.26,"세심한 스타일, 과정 중심 질문, 답변을 유도해 준 편, 집중하기 좋은 환경",경기,세펙트
Robot Mechanics(기구) Engineer _ 수석급,"RGA Inc.는 세계 정상급의 인공지능 및 기계 엔지니어링 기술을 기반으로
인간과 지성적, 감성적 소통 뿐만 아니라 야외 활동도 함께 할 수 있는 첨단 소셜 로봇을 개발 중인 딥테크 기업입니다.

RGA 는 시리즈 B 수준의 투자금 규모에 달하는 자체 자금을 보유하고 있습니다.
RGA 는 프로젝트의 중단 없는 지속성과 기업의 영속성이 확고히 보장되는 기업입니다.

RGA는 글로벌 톱 수준의 역량을 갖춘 인재를 원하며
그들 간의 유기적 협업을 통해 개개인의 역량을 극대화시킬 수 있는 환경을 구축하고자 합니다.
이에 RGA는 최고의 인재에게 동종업계의 상한을 넘어서는 업계 최고 수준의 급여와 최적의 근무 환경을 보장합니다.

“일평생 까만 설탕물이나 만들겁니까?”
스티브 잡스가 당대 최고의 마케팅 대가이자 펩시콜라 CEO 였던 존 스컬리를 애플로 영입하기 위해 던진 결정적인 한마디였습니다.

여러분들은 지금 무엇을 만들고 계십니까?
설거지를 대신 해주는 로봇, 빨래를 대신 해주는 로봇, 요리를 대신해주는 로봇, 배달을 대신해주는 로봇, 서빙을 대신해주는 로봇…

어릴 적 우리 모두가 생각했던 로봇은 과연 노예였을까요?
RGA 의 처음은 이러한 물음이었습니다.

RGA 는 미래의 비전을 수립했습니다.
이것은 진정한 로봇 시대의 도래 나아가 새로운 문명의 창조에 있어 가장 강력하고 주효한 trigger가 될 것이라 확신합니다.","• 로봇 Gait & 모션 및 동역학 분석
• 로봇 기구 사양 정의
• 로봇 기구 설계 및 발주, 조립","• 로봇 Gait & 모션 및 동역학 분석
• 로봇 기구 사양 정의
• 로봇 기구 설계 및 발주, 조립",,,,"50명이하, 연봉상위2~5%, 보너스, 식대지원, 유망산업, 장비지원, 커피·스낵바, 건강검진지원, AI 선도 기업, 설립3년이하, 인원 급성장, 스톡옵션",상시채용,,서울 서초구,알지에이아이엔씨(RGA Inc.)
Robot Mechanics(기구) Engineer _ 선임급,"RGA Inc.는 세계 정상급의 인공지능 및 기계 엔지니어링 기술을 기반으로
인간과 지성적, 감성적 소통 뿐만 아니라 야외 활동도 함께 할 수 있는 첨단 소셜 로봇을 개발 중인 딥테크 기업입니다.

RGA 는 시리즈 B 수준의 투자금 규모에 달하는 자체 자금을 보유하고 있습니다.
RGA 는 프로젝트의 중단 없는 지속성과 기업의 영속성이 확고히 보장되는 기업입니다.

RGA는 글로벌 톱 수준의 역량을 갖춘 인재를 원하며
그들 간의 유기적 협업을 통해 개개인의 역량을 극대화시킬 수 있는 환경을 구축하고자 합니다.
이에 RGA는 최고의 인재에게 동종업계의 상한을 넘어서는 업계 최고 수준의 급여와 최적의 근무 환경을 보장합니다.

“일평생 까만 설탕물이나 만들겁니까?”
스티브 잡스가 당대 최고의 마케팅 대가이자 펩시콜라 CEO 였던 존 스컬리를 애플로 영입하기 위해 던진 결정적인 한마디였습니다.

여러분들은 지금 무엇을 만들고 계십니까?
설거지를 대신 해주는 로봇, 빨래를 대신 해주는 로봇, 요리를 대신해주는 로봇, 배달을 대신해주는 로봇, 서빙을 대신해주는 로봇…

어릴 적 우리 모두가 생각했던 로봇은 과연 노예였을까요?
RGA 의 처음은 이러한 물음이었습니다.

RGA 는 미래의 비전을 수립했습니다.
이것은 진정한 로봇 시대의 도래 나아가 새로운 문명의 창조에 있어 가장 강력하고 주효한 trigger가 될 것이라 확신합니다.","• 로봇 기구 설계 및 발주, 조립","• 로봇 기구 설계 및 발주, 조립",,,,"50명이하, 연봉상위2~5%, 보너스, 식대지원, 유망산업, 장비지원, 커피·스낵바, 건강검진지원, AI 선도 기업, 설립3년이하, 인원 급성장, 스톡옵션",상시채용,,서울 서초구,알지에이아이엔씨(RGA Inc.)
Robot Mechanics(하드웨어) Engineer,"RGA Inc.는 세계 정상급의 인공지능 및 기계 엔지니어링 기술을 기반으로
인간과 지성적, 감성적 소통 뿐만 아니라 야외 활동도 함께 할 수 있는 첨단 소셜 로봇을 개발 중인 딥테크 기업입니다.

RGA 는 시리즈 B 수준의 투자금 규모에 달하는 자체 자금을 보유하고 있습니다.
RGA 는 프로젝트의 중단 없는 지속성과 기업의 영속성이 확고히 보장되는 기업입니다.

RGA는 글로벌 톱 수준의 역량을 갖춘 인재를 원하며
그들 간의 유기적 협업을 통해 개개인의 역량을 극대화시킬 수 있는 환경을 구축하고자 합니다.
이에 RGA는 최고의 인재에게 동종업계의 상한을 넘어서는 업계 최고 수준의 급여와 최적의 근무 환경을 보장합니다.

“일평생 까만 설탕물이나 만들겁니까?”
스티브 잡스가 당대 최고의 마케팅 대가이자 펩시콜라 CEO 였던 존 스컬리를 애플로 영입하기 위해 던진 결정적인 한마디였습니다.

여러분들은 지금 무엇을 만들고 계십니까?
설거지를 대신 해주는 로봇, 빨래를 대신 해주는 로봇, 요리를 대신해주는 로봇, 배달을 대신해주는 로봇, 서빙을 대신해주는 로봇…

어릴 적 우리 모두가 생각했던 로봇은 과연 노예였을까요?
RGA 의 처음은 이러한 물음이었습니다.

RGA 는 미래의 비전을 수립했습니다.
이것은 진정한 로봇 시대의 도래 나아가 새로운 문명의 창조에 있어 가장 강력하고 주효한 trigger가 될 것이라 확신합니다.","• 로봇 하드웨어 구성 및 인터페이스 설계
• 로봇 MCU & Embedded(SoM), 주변장치 선정
• 로봇 회로 설계 및 발주","• 로봇 하드웨어 구성 및 인터페이스 설계
• 로봇 MCU & Embedded(SoM), 주변장치 선정
• 로봇 회로 설계 및 발주",,,,"50명이하, 연봉상위2~5%, 보너스, 식대지원, 유망산업, 장비지원, 커피·스낵바, 건강검진지원, AI 선도 기업, 설립3년이하, 인원 급성장, 스톡옵션",상시채용,,서울 서초구,알지에이아이엔씨(RGA Inc.)
[VueTwo] Quality Engineer,"[회사 소개]
지금 뷰런에서는 새로운 여정을 함께할 인재를 찾고 있어요.

뷰런은 사고의 위험이 늘 도사리고 있는 도로 위, 공사 현장, 좁은 길목에서 사건 사고 없이 오늘의 안전을 유지하며, LiDAR 솔루션을 통해 ‘오늘도 무사히’를 실천하고 있습니다. 독자적인 자체 기술을 통해 자율주행과 스마트 인프라 분야에서 글로벌 시장에 빠르게 자리 잡으며, 인간의 이동성을 더욱 안전하고 효율적으로 변화시키고 있습니다.

현재 뷰런은 24년 9월 220억 규모의 시리즈 A 투자 유치를 성공적으로 완료하였고, 빠르게 성장하는 조직의 멤버로 합류하셔서 최고의 라이다 솔루션을 만들어 갈 동료를 공격적으로 모시고 있습니다.

명확하고 구체적인 목표를 설정하여 이를 달성하기 위한 강한 의지와 끈기를 중시하는 뷰런은,
본질에 집중하며 모든 구성원들이 진심을 다해 열정을 추구할 수 있는 환경을 제공합니다. 불필요한 절차나 형식적인 문화를 지양하고, 오로지 목표를 향해 나아가고 있습니다.

이에 목표를 향한 몰입을 하는 미래 뷰러니들을 기다리고 있습니다!

[뷰런의 첫번째 QE가 되어주세요!]
뷰런의 Dev팀은 라이다 기반의 실시간 주변 객체 및 환경 인지 기술을 개발하고 있습니다.
자율주행 및 ADAS를 위한 라이다 솔루션 VueOne과 스마트 인프라를 위한 라이다 솔루션 VueTwo의 핵심 알고리즘을 연구합니다. Dev팀은 ""최고의 라이다 기술로 세상을 더 안전하게 한다""는 뷰런의 미션을 실현하기 위해 하나의 팀으로 뭉쳐, 뷰런의 기술을 고민하고 개발하여 업계 최고의 기술력을 보유하고 있습니다.

QE로 합류하시면, 팀내 Algorithm 개발자들과 협업하여 Model의 성능을 평가하고 최고의 동료들과 함께 성장합니다.
기술의 최전선에서 함께할 동료로 합류해주세요!","• VueTwo에 대한 평가/검증을 위한 테스트 솔루션 구현
• VueTwo에 대한 성능 평가
• QE 자동화 구현(중장기)
• 평가 데이터셋 관리
• Model artifact store 관리
• 학습, 평가, 검증 히스토리 관리","• VueTwo에 대한 평가/검증을 위한 테스트 솔루션 구현
• VueTwo에 대한 성능 평가
• QE 자동화 구현(중장기)
• 평가 데이터셋 관리
• Model artifact store 관리
• 학습, 평가, 검증 히스토리 관리",,,,"식대지원, 50명이하, 설립4~9년, AI 선도 기업, 누적투자100억이상, 커피·스낵바, 유연근무",2024.10.31,,서울 서초구,뷰런테크놀로지
[VueOne] Quality Engineer,"[회사 소개]
지금 뷰런에서는 새로운 여정을 함께할 인재를 찾고 있어요.

뷰런은 사고의 위험이 늘 도사리고 있는 도로 위, 공사 현장, 좁은 길목에서 사건 사고 없이 오늘의 안전을 유지하며, LiDAR 솔루션을 통해 ‘오늘도 무사히’를 실천하고 있습니다. 독자적인 자체 기술을 통해 자율주행과 스마트 인프라 분야에서 글로벌 시장에 빠르게 자리 잡으며, 인간의 이동성을 더욱 안전하고 효율적으로 변화시키고 있습니다.

현재 뷰런은 24년 9월 220억 규모의 시리즈 A 투자 유치를 성공적으로 완료하였고, 빠르게 성장하는 조직의 멤버로 합류하셔서 최고의 라이다 솔루션을 만들어 갈 동료를 공격적으로 모시고 있습니다.

명확하고 구체적인 목표를 설정하여 이를 달성하기 위한 강한 의지와 끈기를 중시하는 뷰런은,
본질에 집중하며 모든 구성원들이 진심을 다해 열정을 추구할 수 있는 환경을 제공합니다. 불필요한 절차나 형식적인 문화를 지양하고, 오로지 목표를 향해 나아가고 있습니다.

이에 목표를 향한 몰입을 하는 미래 뷰러니들을 기다리고 있습니다!

[VueOne팀의 첫번째 QE가 되어주세요!]
뷰런의 Dev팀은 라이다 기반의 실시간 주변 객체 및 환경 인지 기술을 개발하고 있습니다.
자율주행 및 ADAS를 위한 라이다 솔루션 VueOne과 스마트 인프라를 위한 라이다 솔루션 VueTwo의 핵심 알고리즘을 연구합니다. Dev팀은 ""최고의 라이다 기술로 세상을 더 안전하게 한다""는 뷰런의 미션을 실현하기 위해 하나의 팀으로 뭉쳐, 뷰런의 기술을 고민하고 개발하여 업계 최고의 기술력을 보유하고 있습니다.

QE로 합류하시면, 팀내 Algorithm 개발자들과 협업하여 Model의 성능을 평가하고 최고의 동료들과 함께 성장합니다.
기술의 최전선에서 함께할 동료로 합류해주세요!","• LiDAR 인지 SW 품질 보증(QA) 업무 수행
• SW 개발 프로세스 개선 주도
• A-SPICE 표준 프로세스 적용 및 관리
• 프로세스 이행 상태 점검 및 문서화
• 검증 전략 수립, 테스트 시나리오 설계 및 문서화
• 결함 관리 및 리스크 모니터링","• LiDAR 인지 SW 품질 보증(QA) 업무 수행
• SW 개발 프로세스 개선 주도
• A-SPICE 표준 프로세스 적용 및 관리
• 프로세스 이행 상태 점검 및 문서화
• 검증 전략 수립, 테스트 시나리오 설계 및 문서화
• 결함 관리 및 리스크 모니터링",,,,"식대지원, 50명이하, 설립4~9년, AI 선도 기업, 누적투자100억이상, 커피·스낵바, 유연근무",2024.10.31,,서울 서초구,뷰런테크놀로지
Senior Mechanical Engineer,"'세계 최고의 AI 기반 모빌리티 플랫폼 기업'으로 성장하고 있는 베어로보틱스에서 각 분야에서 최고 수준의 동료들과 함께 할 여러분을 기다립니다.

베어로보틱스는 현재 미국, 한국, 싱가포르 등 전 세계 200명+ 이상의 직원들이 긴밀하게 협업하고 있으며, 로봇 개발 및 제조를 넘어 클라우드, 자율주행, 관제 서비스까지 아우르는 로봇 플랫폼을 기반으로 다양한 로봇 제품을 선보이고 있습니다.

서빙로봇을 시작으로 방역로봇, 층간 이동 배송로봇, AMR(Autonomous Mobile Robot) 등 시장이 필요로 하는 로봇을 개발하며 사업 범위를 확대하고 있는 베어로보틱스는 AI 기반의 자율주행 기술을 통해 모빌리티 플랫폼의 리더로 자리매김하고자 합니다.

우리는 모두가 성장의 과정에 참여하며 모빌리티 플랫폼의 선두주자로써 새로운 모멘텀을 만들기 위해 노력하고 있습니다. 최근 마무리된 Series C 펀딩 확보를 기반으로 안정적으로 전 세계로 확장하고 있는 베어로보틱스의 여정에 함께 몰입하며 본인의 역량을 마음껏 발휘하실 여러분을 모십니다.

• “구글을 박차고 나와 순두부식당을 운영하면서 실리콘밸리 생존법을 배웠죠.”","전세계에 외식업 로봇 혁명을 이끄는 베어로보틱스의 자율주행 로봇 제품의 설계를 책임지고 리드할 엔지니어를 모십니다. 
Mechanical Engineer로서 자율주행 로봇의 조립 과정을 정의하며 조립 툴을 개발합니다.
조립 수행 모니터링 및 개선 업무를 담당하며, injection, die casting, pressing 금형설계 및 생산을 관리합니다.","전세계에 외식업 로봇 혁명을 이끄는 베어로보틱스의 자율주행 로봇 제품의 설계를 책임지고 리드할 엔지니어를 모십니다. 
Mechanical Engineer로서 자율주행 로봇의 조립 과정을 정의하며 조립 툴을 개발합니다.
조립 수행 모니터링 및 개선 업무를 담당하며, injection, die casting, pressing 금형설계 및 생산을 관리합니다.",,,,"건강검진지원, 자기계발지원, 보너스, 커피·스낵바, 유망산업, 51~300명, 설립4~9년, 육아휴직, 출산휴가, 사내동호회, AI 선도 기업, 연봉상위6~10%, 누적투자100억이상",상시채용,"신속 간결한 스타일, 과정 중심 질문, 진중/칼같은 스타일, 자유롭고 편한 환경",서울 성동구,베어로보틱스코리아
Mechanical Engineer(전문연구요원 가능),"*전문연구요원으로 지원하는 경우, ""전문연구요원 희망"" 문구를 기재해주세요.

◆ Better than Yesterday ◆

플라잎과 함께 아이언맨의 자비스를 만들고 싶다면 저희와 함께 하세요!
우리는 Deep Learning & Reinforcement Learning 기술을 통해 산업용 로봇이 조금 더 스마트하게 일할 수 있도록 만듭니다.
인공지능이 마침내 적용되어야 할 곳은 로봇이지만, 아직 세계적으로 이루어낸 곳이 없고 국내에서는 도전하고 있는 기업도 없습니다.
플라잎은 여기에 도전하고 있습니다.
사람의 단순 반복적인 일은 플라잎의 AI솔루션이 하고 사람은 좀 더 가치 있는 일을 할 수 있게 만들 것입니다.
엔지니어가 꿈꾸는 직장을 만들고, 하고 싶은 일을 할 수 있게 하는 회사를 만들고 있습니다.
우리는 이 분야의 국가 대표가 될 것이고 세계와 어깨를 나란히 하는 기업이 될 것입니다.

◆ CEO 인터뷰 ◆
세계 로봇 대회 우승자가 만든 AI 스타트업 :","• 협동로봇 관련 주변기기(테스트베드) 설계
• 협동로봇 로봇팔 및 로봇 Hand R&D 설계","• 협동로봇 관련 주변기기(테스트베드) 설계
• 협동로봇 로봇팔 및 로봇 Hand R&D 설계",,,,"유망산업, 자기계발지원, 식대지원, 보너스, 커피·스낵바, 50명이하, 설립4~9년, AI 선도 기업, 경기도 우수 중소기업, 전문연구요원",상시채용,"결과 중심 질문, 천천히 기다려준 편",경기 성남시,플라잎
